Case Number,Date,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Investigator or Source,href formula,original order
2017.08.10,2017-08-10 00:00:00,Unprovoked,Usa,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,Minor cuts to sole & toes of left foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.10-Suttle.pdf,6201.0
2017.08.05,2017-08-05 00:00:00,Unprovoked,Egypt,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,Bite to right leg/hip,N,"Egyptian government, 8/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.05-Schachinger.pdf,6200.0
2017.08.03,2017-08-03 00:00:00,Provoked,Usa,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,"MassLive, 8/4/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.03-Massachusetts.pdf,6199.0
2017.08.01,2017-08-01 00:00:00,Provoked,Usa,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,"No injury, bow of kayak bitten",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.01-Conroy.pdf,6198.0
2017.07.31,2017-07-31 00:00:00,Unprovoked,Usa,Florida,"Jacksonvlle, Duval County",Skimboarding,M,Lacerations to lower leg,N,"K. McMurray, Tracking Sharks",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.31.pdf,6197.0
2017.07.29.c,2017-07-29 00:00:00,Provoked,Usa,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,Abrasions and cuts to sole of foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.c-Simatacolos.pdf,6196.0
2017.07.29.a,2017-07-29 00:00:00,Unprovoked,Usa,South Carolina,"DeBordieu Colony, Georgetown County",No Data,F,Bite to left thigh / minor injury,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.a-Georgetown.pdf,6195.0
2017.07.27,2017-07-27 00:00:00,Unprovoked,Bahamas,New Providence District,Rose Island,Snorkeling,F,Foot & ankle injured,N,"R. Rolle, Tribune 242,  7/28/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.27-Bahamas.pdf,6194.0
2017.07.26.R,2017-07-26 00:00:00,Unprovoked,Bahamas,40 miles off Grand Bahama Island,No Data,Spearfishing,M,Severe lacerations to left hand,N,"RevistaJaraysedal.es, 7/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.26.R-Massey.pdf,6193.0
2017.07.24,2017-07-24 00:00:00,Unprovoked,"St helena, british overseas territory",Ascension Island,English Bay,Surfing,M,Torso bitten,N,"Telegraph UK, 7/28/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.24-Matsu.pdf,6192.0
2017.07.23.b,2017-07-23 00:00:00,Unprovoked,Usa,New Jersey,Ventnor,No Data,F,Minor injury to hand,N,A. Smith,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.b-Smith.pdf,6191.0
2017.07.23.a,2017-07-23 00:00:00,Unprovoked,Spain,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,Abrasion to arm from shark's rough skin,N,"Daily Record, 7/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.a-Majorca.pdf,6190.0
2017.07.22,2017-07-22 00:00:00,Unprovoked,Usa,Florida,"Snipes Point, Monroe County",No Data,F,Foot bitten,N,"NBC Miami, 7/23/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.22-Keys.pdf,6189.0
2017.07.20.c,2017-07-20 00:00:00,Provoked,Usa,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,Foot injured,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.c-Rogier.pdf,6188.0
2017.07.20.b,2017-07-20 00:00:00,Provoked,Usa,California,"Stearns Wharf, Santa Barbara",Kayaking,M,"No injury, kayak bitten",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.b-Jackson.pdf,6187.0
2017.07.20.a,2017-07-20 00:00:00,Unprovoked,Usa,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,"No injury, shark bit paddleboard",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.a-Geyling.pdf,6186.0
2017.07.14.b,2017-07-14 00:00:00,Unprovoked,Usa,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,Pulled off board by shark but no injury,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.b-Washington.pdf,6185.0
2017.07.14.a,2017-07-14 00:00:00,Unprovoked,Australia,Western Australia,Floreat Beach,Surfing,M,"Minor injury, grazed by shark",N,No Data,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.a-Floreat.pdf,6184.0
2017.07.11,2017-07-11 00:00:00,Provoked,Usa,California,"Santa Cruz, Santa Cruz County",Kayaking,M,"No injury, kayak bitten",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.11-Lawson.pdf,6183.0
2017.07.09,2017-07-09 00:00:00,Unprovoked,Usa,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,Lower legs bitten,N,"Miami-Beach Patch, 7/9/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.09-Lanza.pdf,6182.0
2017.07.07.R,2017-07-07 00:00:00,Provoked,Mexico,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tabasco Hoy, 7/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07.R-Rodriguez.pdf,6181.0
2017.07.07,2017-07-07 00:00:00,Unprovoked,South africa,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,"No injury, shark bit surfboard",N,"Dispatch Live, 7/7/2027",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07-Stein.pdf,6180.0
2017.07.02,2017-07-02 00:00:00,Provoked,Comoros,Anjouan,Moya,Fishing,No Data,"Skull found in shark, a probable drowning & scavenging",N,"Linfo, 7/3/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.02-Comoros.pdf,6179.0
2017.06.29,2017-06-29 00:00:00,Provoked,Usa,South Carolina,Wrightsville Beach,Fishing,M,"Arm injured by hook, not by a shark",N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.29-Wrightsville.pdf,6178.0
2017.06.21,2017-06-21 00:00:00,Unprovoked,Usa,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,Left foot bitten,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.21-Wallhauser.pdf,6177.0
2017.06.19,2017-06-19 00:00:00,Unprovoked,Usa,Florida,"Singer Island, Palm Beach County",Surfing,M,1 to 2-inch laceration behind knee,N,"CBS12, 6/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.19-SingerIsland.pdf,6176.0
2017.06.18.b,2017-06-18 00:00:00,Unprovoked,Usa,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,Leg bitten,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.b-Readnour.pdf,6175.0
2017.06.18.a,2017-06-18 00:00:00,Unprovoked,Reunion,No Data,Roches Noire,Body boarding,M,"No injury, shark bit surfboard ",N,"Clincanoo, 6/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.a-Reunion.pdf,6174.0
2017.06.17,2017-06-17 00:00:00,Unprovoked,Spain,Ibiza Island,Playa den Bossa,Swimming,M,2-inch laceration to hand,N,"Diario de Ibiza, 6/17/'2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.17-Spain.pdf,6173.0
2017.06.05,2017-06-05 00:00:00,Unprovoked,French polynesia,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,Injuries to hand and wrist,N,"Tahiti Infos, 6/6/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.05-FrenchPolynesia.pdf,6172.0
2017.06.14.R,2017-06-14 00:00:00,Unprovoked,Bahamas,No Data,No Data,Feeding sharks,F,Fingernail pulled off ,N,"AOL.UK, 6/14/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.14.R-Carly.pdf,6171.0
2017.06.11,2017-06-11 00:00:00,Unprovoked,Australia,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,"No injury, board bitten",N,"WA Today, 6/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.11-Goff.pdf,6170.0
2017.06.10.b,2017-06-10 00:00:00,Unprovoked,Australia,Victoria,"Flinders, Mornington Penisula",Surfing,F,"No injury, knocked off board",N,Victoria Shark Reports,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.b-Flinders.pdf,6169.0
2017.06.10.a,2017-06-10 00:00:00,Unprovoked,Usa,Florida,"Ponce Inlet, Volusia County",Surfing,M,Laceration to left foot,N,"Daytona Beach News-Journal, 6/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.a-Brock.pdf,6168.0
2017.06.07.R,2017-06-07 00:00:00,Unprovoked,United kingdom,South Devon,Bantham Beach,Surfing ,M,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.07.R-Thomson.pdf,6167.0
2017.06.04,2017-06-04 00:00:00,Unprovoked,Usa,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,Laceration to shin,N,"Nine News, 6/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.04-Simpson.pdf,6166.0
2017.06.02,2017-06-02 00:00:00,Unprovoked,Bahamas,New Providence ,Athol Island,Snorkeling,F,Right forearm severed ,N,"Tribune 242, 6/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.02-Johnson.pdf ,6165.0
2017.05.30,2017-05-30 00:00:00,Provoked,Usa,South Carolina,"Awendaw, Charleston County",Touching a shark,F,Right hand bitten by hooked shark PROVOKED INCIDENT,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.30-Higgins.pdf,6164.0
2017.05.28,2017-05-28 00:00:00,Unprovoked,Usa,Florida,Off Jupiter,Feeding sharks,M,Lacerations to right arm,N,"M. Michaelson, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.28-Jordan.pdf,6163.0
2017.05.27,2017-05-27 00:00:00,Provoked,Australia,New South Wales,Evans Head,Fishing ,M,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.27-Selwood.pdf,6162.0
2017.05.12,2017-05-12 00:00:00,Unprovoked,United arab emirates,"Sharjah, ",Khor Fakkan,Spearfishing,M,Right leg severely bitten,N,"Gulf News, 5/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.12-Beloushi.pdf,6161.0
2017.05.06.R,2017-05-06 00:00:00,Provoked,Australia,Queensland,Weipa,Attempting to lasso a shark,M,Thigh nipped PROVOKED INCIDENT,N,"The Sun, 5/6/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06.R-Neille.pdf,6160.0
2017.05.06,2017-05-05 00:00:00,Unprovoked,Mexico,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,FATAL,Y,J. Rozada,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06-Rozada.pdf,6159.0
2017.05.03,2017-05-03 00:00:00,Provoked,Usa,California,"Sunset Beach, Orange County",Surfing,F,"Laceration to thigh, likely caused by surfboard fin",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.03-Raab.pdf,6158.0
2017.04.29.d,2017-04-29 00:00:00,Unprovoked,Usa,California,"San Onofre, San Diego County ",Swimming,F,Major injury to posterior thigh,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.d-Ericson.pdf,6157.0
2017.04.29.c,2017-04-29 00:00:00,Unprovoked,South africa,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,Minor injury to right calf,N,"J. de Villiars, News24, 4/29/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.c-Plett.pdf,6156.0
2017.04.29.b,2017-04-29 00:00:00,Unprovoked,Usa,South Carolina,"Folly Beach, Charleston County",Surfing,F,Left foot bitten,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.b-Dyar.pdf,6155.0
2017.04.29.a,2017-04-29 00:00:00,Unprovoked,Reunion,Saint-Leu,Pointe au Sal,Body boarding,M,FATAL,Y,"Clicanoo, 4/29/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.a-Dubosc.pdf,6154.0
2017.04.27,2017-04-27 00:00:00,Unprovoked,New zealand,South Island,"Porpoise Bay, Catlins",Body boarding,F,Puncture wounds & laceration above knee,N,"C.Black, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.27-NZ.pdf,6153.0
2017.04.26,2017-04-26 00:00:00,Provoked,Usa,Florida,No Data,Photo shoot,F,Alleged laceration to left ankle,N,"The Sun, 5/6/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.26-Cavelli.pdf,6152.0
2017.04.22,2017-04-22 00:00:00,Unprovoked,"St helena, british overseas territory",Ascension Island,English Bay,Snorkeling,F,Calf & foot bitten,N,"Daily Mail, 4/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.22-Gonsalves.pdf,6151.0
2017.04.20,2017-04-20 00:00:00,Provoked,Usa,South Carolina,Georgetown County,Swimming,M,Laceration & puncture wounds to left foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.20-PawleysIsland.pdf,6150.0
2017.04.17.b,2017-04-17 00:00:00,Unprovoked,Usa,Florida,"Daytona Beach, Volusia County",No Data,No Data,Minor bite to the foot,N,"Daytona Beach News-Journal, 4/17/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.b-Volusia.pdf,6149.0
2017.04.17.a,2017-04-17 00:00:00,Unprovoked,Australia,Western Australia,Kelpies near Wylie Bay,Surfing,F,FATAL,Y,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.a Brouwer.pdf,6148.0
2017.04.14,2017-04-14 00:00:00,Unprovoked,Usa,Hawaii,"Kekaha Beach, Kauai",Surfing,M,Lower right leg severely injured,N,"Hawaii News Now, 4/14/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.14-Baboo.pdf,6147.0
2017.04.13,2017-04-13 00:00:00,Unprovoked,Usa,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,Lacerations to right foot,N,"News4Jax, 4/14/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.13-Perry.pdf,6146.0
2017.04.12.b,2017-04-12 00:00:00,Unprovoked,Usa,Florida,St. Augustine,Surfing,F,Lacerations to right foot,N,"The Surf Station, 4/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.b-Keyton.pdf,6145.0
2017.04.12.a,2017-04-12 00:00:00,Provoked,South africa,KwaZulu-Natal,Protea Banks,Scuba Diving,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",N,"E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.a-Mairhuber.pdf,6144.0
2017.04.11,2017-04-11 00:00:00,Unprovoked,Usa,Florida,"Ormond Beach, Volusia County",Surfing,F,Calf bitten,N,"WFTV, 4/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.11-Oosterveld.pdf ,6143.0
2017.04.10.b,2017-04-10 00:00:00,Unprovoked,Usa,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,Laceration to calf,N,"Brevard Times, 4/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.b-Melbourne.pdf,6142.0
2017.04.10.a,2017-04-10 00:00:00,Unprovoked,Usa,Florida,"Melbourne Beach, Brevard County",Swimming,F,Minor injury to left hand,N,"Brevard Times, 4/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.a-Orr.pdf,6141.0
2017.04.06,2017-04-06 00:00:00,Unprovoked,Usa,Florida,"Daytona, Volusia County",Swimming,M,Foot injured,N,"Bradenton Herald, 4/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.07-Stephens.pdf,6140.0
2017.04.05,2017-04-05 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Swimming,F,"Thigh nipped, minor injury",N,"AJC, 4/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.05-NSB.pdf,6139.0
2017.04.02.b,2017-04-02 00:00:00,Unprovoked,Australia,Queensland,Moreton Bay,Kakaying,M,"No injury, shark bit off stern of kayak",N,"Philly.com, 4/3/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.b-Kleiden.pdf,6138.0
2017.04.02.a,2017-04-02 00:00:00,Unprovoked,Usa,Florida,"Destin, Okaloosa County",Swimming,F,Lacerations to thighs,N,Okaloosa County Sheriff's Office,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.a-Taylor.pdf,6137.0
2017.03.27,2017-03-27 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to left foot,N,"Orlando Sentinel, 3/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.27-NSB.pdf,6136.0
2017.03.19,2017-03-19 00:00:00,Unprovoked,Australia,New South Wales,The Farm,Body boarding,M,Minor,N,"Illawarra Mercury, 1/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.19-Fernandez.pdf,6135.0
2017.03.18,2017-03-18 00:00:00,Provoked,Usa,California,Monterey Bay,Kayaking,M,"No injury, kayak bitten",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.18-Correira.pdf,6134.0
2017.03.11,2017-03-11 00:00:00,Unprovoked,Philippines,Luzon Island,"Villamar, Caoayan",Spearfishing,M,Right thigh injured ,N,"ABS-CBN, 3/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.11-Reintegrado.pdf,6133.0
2017.03.09,2017-03-09 00:00:00,Unprovoked,Bahamas,Great Exuma,No Data,Washing hands,M,Abrasions & lacerations to left leg and hand,N,"Kent Live, 3/9/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.09-Keywood.pdf,6132.0
2017.02.25,2017-02-25 00:00:00,Unprovoked,Australia,Western Australia,Mauds Point,Snorkeling,F,Hand bitten,N,"Perth Now, 2/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.25-WesternAustralia.pdf,6131.0
2017.02.24,2017-02-24 00:00:00,Unprovoked,Australia,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,"No injury, shark struck board",N,"Perth Now, 2/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.24-Mandurah,6130.0
2017.02.21,2017-02-21 00:00:00,Unprovoked,Reunion,Saint-Andre,No Data,Body boarding,M,Fatal,Y,"Surfline, 2/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.21-Naussance.pdf,6129.0
2017.02.17,2017-02-17 00:00:00,Unprovoked,Australia,Queensland,Eva Rock,Spearfishing,M,Left leg severely bitten,N,"Courier Mail, 2/18/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.17-Dickson.pdf,6128.0
2017.02.11,2017-02-11 00:00:00,Unprovoked,Usa,Florida,"Melbourne Beach, Brevard County",Swimming,M,Injury to hand,N,"Florida Today, 2/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.11-MelbourneBeach.pdf,6127.0
2017.02.06.b,2017-02-06 00:00:00,Provoked,Brazil,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,"Minor injury to finger, PROVOKED INCIDENT",N,"O Popular, 2/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.b-Brazil.pdf,6126.0
2017.02.06.a,2017-02-06 00:00:00,Provoked,South africa,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,M,"Shark damaged kayak, no injury to occupant",N,"The Citizen, 2/8/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf,6125.0
2017.02.01.b,2017-02-01 00:00:00,Provoked,Usa,South Carolina,16 miles off Hilton Head,Tagging sharks,No Data,"Shark bit boat, no injury to occupants",N,"YouTube, 2/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf,6124.0
2017.02.01.a,2017-02-01 00:00:00,Unprovoked,Bahamas,Bimini,No Data,Scuba Diving,M,Lacerations to upper right arm,N,"Dutch News, 2/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf,6123.0
2017.01.24,2017-01-24 00:00:00,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Swimming,M,Minor laceration to ring finger,N,"K. McMurray, Tracking Sharks",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.24-Andrade.pdf,6122.0
2017.01.22,2017-01-22 00:00:00,Unprovoked,Usa,Florida,"Vero Beach, Indian River County",No Data,M,Puncture wounds to lower arm or hand,N,"TCPalm, 1/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.22-VeroBeach.pdf,6121.0
2017.01.21,2017-01-21 00:00:00,Unprovoked,Australia,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,"Multiple injuries to arm, wrist and torso",N,"ABC, 1/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.21-MurrayIsland.pdf,6120.0
2017.01.13.b,2017-01-13 00:00:00,Unprovoked,Australia,Queensland,Clairview,Swimming,M,Injury to hand,N,"Brisbane Times,1/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.b-Clairview.pdf,6119.0
2017.01.13.a,2017-01-13 00:00:00,Unprovoked,Usa,Florida,Jensen Beach,No Data,M,Minor injury to hand,N,WPTV. 1/13/2017,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.a-JensenBeach.pdf,6118.0
2017.01.09,2017-01-09 00:00:00,Unprovoked,Indonesia,Bali,Balian Beach,Surfing,M,Injury to right wrist & forearm,N,"Daily Mail, 1/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.09-Moore.pdf,6117.0
2017.01.08.R,2017-01-08 00:00:00,Provoked,Australia,Queensland,No Data,Spearfishing,M,"No attack, shark made a threat display",N,Liquid Vision 1/8/2017,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.08.R-KerryDaniel.pdf,6116.0
